Date,Open,High,Low,Close,Volume
10/25/2017,171.899994,172.25,168.889999,170.600006,15868200
10/26/2017,171.380005,172.289993,170.389999,170.630005,11833100
10/27/2017,174.149994,178.210007,173.899994,177.880005,30285300
10/30/2017,179.259995,180.690002,177.610001,179.869995,24353200
10/31/2017,180.570007,180.800003,178.940002,180.059998,20174200
11/1/2017,182.360001,182.899994,180.570007,182.660004,40918300
11/2/2017,180.630005,181.940002,177.339996,178.919998,35529900
11/3/2017,179.289993,179.860001,176.710007,178.919998,17822100
11/6/2017,178.559998,180.449997,178.309998,180.169998,13312700
11/7/2017,180.5,180.75,178.960007,180.25,12928200
11/8/2017,179.789993,180.350006,179.110001,179.559998,10494100
11/9/2017,178.309998,179.399994,177.089996,179.300003,12610300
11/10/2017,178.350006,179.100006,177.960007,178.460007,11070200
11/13/2017,177.5,179.039993,177.300003,178.770004,9523400
11/14/2017,178.130005,178.970001,177.179993,178.070007,9585900
11/15/2017,176.660004,178.570007,176.399994,177.949997,10253700
11/16/2017,178.759995,179.830002,178.5,179.589996,15607600
11/17/2017,179.300003,179.979996,178.899994,179,13018000
11/20/2017,178.869995,179.5,178.100006,178.740005,10052400
11/21/2017,179.149994,181.889999,178.990005,181.860001,14504000
11/22/2017,181.300003,181.729996,180.440002,180.869995,10376300
11/24/2017,180.399994,183.149994,180.289993,182.779999,9426300
11/27/2017,182.559998,183.729996,181.990005,183.029999,12344500
11/28/2017,183.509995,184.25,182.089996,182.419998,14379700
11/29/2017,181.889999,181.970001,174,175.130005,41933500
11/30/2017,176.850006,178.279999,175.199997,177.179993,25307600
12/1/2017,176.029999,177.479996,172.339996,175.100006,20182500
12/4/2017,176.289993,176.570007,170.789993,171.470001,24459400
12/5/2017,170.449997,175.380005,169.009995,172.830002,20184900
12/6/2017,172.5,176.770004,171.899994,176.059998,20255800
12/7/2017,175.800003,180.389999,175.800003,180.139999,20404500
12/8/2017,181.529999,182.279999,178.740005,179,19883800
12/11/2017,179.300003,180.220001,178.800003,179.039993,13168600
12/12/2017,178.600006,179.179993,176.600006,176.960007,16854100
12/13/2017,177.300003,179.160004,177.25,178.300003,14615700
12/14/2017,178.289993,180.360001,177.679993,178.389999,13591000
12/15/2017,179.020004,180.490005,178.360001,180.179993,28463100
12/18/2017,181.009995,181.300003,179.75,180.820007,17265400
12/19/2017,179.949997,180.080002,178.220001,179.509995,14920600
12/20/2017,179.809998,179.809998,177.360001,177.889999,11860500
12/21/2017,177.940002,178.679993,177.050003,177.449997,11600700
12/22/2017,177.139999,177.529999,176.229996,177.199997,8509500
12/26/2017,176.630005,177,174.669998,175.990005,8897300
12/27/2017,176.550003,178.440002,176.259995,177.619995,9496100
12/28/2017,177.949997,178.940002,177.679993,177.919998,12220800
12/29/2017,178,178.850006,176.460007,176.460007,10261500
1/2/2018,177.679993,181.580002,177.550003,181.419998,18151900
1/3/2018,181.880005,184.779999,181.330002,184.669998,16886600
1/4/2018,184.899994,186.210007,184.100006,184.330002,13880900
1/5/2018,185.589996,186.899994,184.929993,186.850006,13574500
1/8/2018,187.199997,188.899994,186.330002,188.279999,17994700
1/9/2018,188.699997,188.800003,187.100006,187.869995,12393100
1/10/2018,186.940002,187.889999,185.630005,187.839996,10529900
1/11/2018,188.399994,188.399994,187.380005,187.770004,9588600
1/12/2018,178.059998,181.479996,177.399994,179.369995,77551300
1/16/2018,181.5,181.75,178.039993,178.389999,36183800
1/17/2018,179.259995,179.320007,175.800003,177.600006,27992400
1/18/2018,178.130005,180.979996,177.080002,179.800003,23304900
1/19/2018,180.850006,182.369995,180.169998,181.289993,26826500
1/22/2018,180.800003,185.389999,180.410004,185.369995,21059500
1/23/2018,186.050003,189.550003,185.550003,189.350006,25678800
1/24/2018,189.889999,190.660004,186.520004,186.550003,24334500
1/25/2018,187.949997,188.619995,186.600006,187.479996,17377700
1/26/2018,187.75,190,186.809998,190,17759200
1/29/2018,188.75,188.839996,185.630005,185.979996,20453200
1/30/2018,187.619995,188.179993,181.839996,187.119995,20858600
1/31/2018,188.369995,189.830002,185.220001,186.889999,43275100
2/1/2018,188.220001,195.320007,187.889999,193.089996,54211300
2/2/2018,192.039993,194.210007,189.979996,190.279999,26677500
2/5/2018,186.929993,190.610001,180.610001,181.259995,33128200
2/6/2018,178.570007,185.770004,177.740005,185.309998,37758500
2/7/2018,184.149994,185.080002,179.949997,180.179993,27601900
2/8/2018,181.009995,181.839996,171.479996,171.580002,38478300
2/9/2018,174.759995,176.899994,167.179993,176.110001,39887600
2/12/2018,177.059998,177.550003,171.839996,176.410004,32092100
2/13/2018,175.619995,175.970001,173.100006,173.149994,21809400
2/14/2018,173.449997,179.809998,173.210007,179.520004,28929700
2/15/2018,180.5,180.5,176.839996,179.960007,20922100
2/16/2018,178.990005,179.880005,176.300003,177.360001,20645300
2/20/2018,175.770004,177.949997,175.110001,176.009995,21204900
2/21/2018,176.710007,181.270004,176.399994,177.910004,23200800
2/22/2018,178.699997,180.210007,177.410004,178.990005,18464200
2/23/2018,179.899994,183.389999,179.509995,183.289993,19007300
2/26/2018,184.580002,185.660004,183.220001,184.929993,17599700
2/27/2018,184.449997,184.699997,181.460007,181.460007,15849800
2/28/2018,182.300003,182.880005,178.139999,178.320007,18783000
3/1/2018,179.009995,180.119995,174.410004,175.940002,23201600
3/2/2018,173.289993,177.110001,172.990005,176.619995,20025900
3/5/2018,176.199997,181.149994,175.889999,180.399994,16189300
3/6/2018,181.779999,182.380005,179.110001,179.779999,15086800
3/7/2018,178.740005,183.820007,178.070007,183.710007,19097300
3/8/2018,183.559998,184.399994,181.449997,182.339996,17225900
3/9/2018,183.910004,185.509995,183.210007,185.229996,18526300
3/12/2018,185.229996,186.100006,184.220001,184.759995,15301200
3/13/2018,185.610001,185.990005,181.110001,181.880005,18067500
3/14/2018,182.600006,184.25,181.850006,184.190002,16821700
3/15/2018,183.240005,184,182.190002,183.860001,15614300
